Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
3490,0.55,0.725,0.7745,0.775,0.825,0.975,32.31300575
3491,0.55,0.725,0.776,0.775,0.825,1,32.31349003
3492,0.575,0.725,0.7805,0.8,0.825,0.925,32.99233001
3493,0.6,0.75,0.790625,0.8,0.825,0.95,33.24817874
3494,0.5,0.725,0.784625,0.8,0.85,0.975,32.99455487
3495,0.575,0.725,0.77975,0.8,0.825,0.95,33.08625827
3496,0.6,0.725,0.7745,0.775,0.825,0.95,32.26864879
3497,0.525,0.75,0.785,0.8,0.825,0.975,33.03525321
3498,0.575,0.7,0.771,0.775,0.825,1,32.19662512
3499,0.55,0.725,0.771875,0.775,0.825,0.925,32.10636494
3500,0.575,0.725,0.779375,0.8,0.825,0.95,33.04469042
3501,0.525,0.725,0.779375,0.775,0.825,0.95,32.34514663
3502,0.525,0.725,0.781875,0.775,0.825,0.95,32.36557825
3503,0.6,0.75,0.79275,0.8,0.85,0.95,33.19372371
3504,0.525,0.75,0.788875,0.8,0.85,0.95,33.21241879
3505,0.575,0.725,0.781125,0.8,0.825,0.95,33.0502134
3506,0.575,0.725,0.784125,0.8,0.825,1,32.97182084
3507,0.625,0.725,0.780375,0.775,0.825,0.95,32.350748
3508,0.525,0.725,0.777875,0.775,0.85,0.975,32.23728985
3509,0.575,0.75,0.781125,0.775,0.825,0.95,32.28398456
3510,0.525,0.725,0.774125,0.775,0.825,0.975,32.24462427
3511,0.55,0.725,0.77825,0.775,0.825,0.975,32.25607324
3512,0.525,0.725,0.771375,0.775,0.825,0.95,32.24849291
3513,0.55,0.725,0.77275,0.775,0.825,0.95,32.120811
3514,0.525,0.75,0.7845,0.775,0.825,0.95,32.46530127
3515,0.55,0.725,0.77425,0.775,0.825,0.975,32.24284411
3516,0.55,0.75,0.777625,0.775,0.825,0.95,32.3418586
3517,0.575,0.725,0.779125,0.775,0.825,0.925,32.25376324
3518,0.425,0.725,0.76775,0.775,0.825,0.925,32.19561027
3519,0.45,0.725,0.768375,0.775,0.825,0.95,32.28815738
3520,0.55,0.725,0.778875,0.8,0.825,0.95,33.06960171
3521,0.525,0.75,0.776875,0.775,0.825,0.95,32.24959978
3522,0.6,0.725,0.78575,0.8,0.825,0.95,33.06701078
3523,0.525,0.725,0.780125,0.8,0.825,0.95,32.98572084
3524,0.475,0.725,0.77225,0.775,0.825,0.925,32.38939154
3525,0.55,0.725,0.77725,0.775,0.825,0.975,32.26489617
3526,0.525,0.7,0.7655,0.775,0.825,0.95,32.18627551
3527,0.575,0.725,0.7755,0.775,0.825,0.95,32.27984895
3528,0.55,0.725,0.779125,0.8,0.83125,0.975,33.06530713
3529,0.625,0.75,0.790125,0.8,0.85,0.95,33.23929076
3530,0.35,0.725,0.777125,0.775,0.825,0.925,32.2562801
3531,0.45,0.725,0.776625,0.775,0.825,0.925,32.31427082
3532,0.475,0.725,0.7795,0.7875,0.825,0.95,32.67156282
